asin,domain_id,market,title,detected_layout,expected_layout,is_mismatch,confidence,detection_layer,new_price,used_price,brand,source
B0BZ87MWR8,4,FR,"TECURS Clavier de jeu mécanique QWERTZ avec repose-poignet magnétique, touches multimédia, 105 touches, interrupteur rouge filaire pour PC/PS5/PS4, 19 modes LED",qwertz,azerty,True,high,title_keyword,64.09,,TECURS,keepa_search
B0BZ87MWR8,8,IT,"TECURS Tastiera meccanica da gioco 100%, tastiera meccanica QWERTZ con poggiapolsi magnetici, tasti multimediali, 105 tasti, interruttore rosso cablato, tastiera per PC/PS5/PS4, 19 modalità LED",qwertz,qwerty_it,True,high,title_keyword,59.27,,TECURS,keepa_search
B0BZ87MWR8,9,ES,"TECURS Teclado mecánico para gaming - QWERTZ Teclado mecánico con reposamuñecas magnético, teclas multimedia, 105 teclas, interruptor rojo con cable, teclado para PC/PS5/PS4, 19 modos LED",qwertz,qwerty_es,True,high,title_keyword,57.62,,TECURS,keepa_search
B0DWMX5TXV,2,UK,"RK ROYAL KLUDGE R98 Pro Mechanical Keyboard, 96% Wired Gaming Keyboard RGB Backlit with Number Pad and Volume Knob, Gasket Mount, MDA Profile US Layout PBT Keycaps, Hot Swap Pre-lubed Linear Switch",qwertz,qwerty_uk,True,high,title_keyword,69.99,59.99,RK ROYAL KLUDGE,"keepa_search,static_pool"
B0DWMX5TXV,4,FR,"RK ROYAL KLUDGE R98 Pro Clavier Mécanique Filaire, Clavier Gamer 96% AZERTY, Rétroéclairage RGB, Touches PBT, Gasket Structure, Molette de Volume, Hot-Swap Switch Creamy Linéaire Pré-lubrifié",qwertz,azerty,True,high,title_keyword,79.99,70.59,RK ROYAL KLUDGE,"keepa_search,static_pool"
B0DWMX5TXV,8,IT,"RK ROYAL KLUDGE R98 Pro Tastiera Meccanica Cablata, 96% US Layout Tastiera Gaming con numerico, RGB, Manopola del Volume, Gasket Structure, Tasti MDA PBT, Switch Lineare Pre-lubrificato Hot-Swappable",qwertz,qwerty_it,True,high,title_keyword,79.99,70.59,RK ROYAL KLUDGE,"keepa_search,static_pool"
B0DWMX5TXV,9,ES,"RK ROYAL KLUDGE R98 Pro Teclado Mecánico con Cable, 96% US Layout Teclado Gaming con Numérico, RGB, Perilla de Volumen, Gasket Structure, Teclas PBT MDA, Switch Lineal Pre-lubricado Hot-Swappable",qwertz,qwerty_es,True,high,title_keyword,79.99,70.59,RK ROYAL KLUDGE,"keepa_search,static_pool"
B0CM6GP2QX,2,UK,"TMKB T61SE Gaming Mechanische Tastatur mit Deutsches QWERTZ Layout,Rote Schalter,weiße",qwertz,qwerty_uk,True,high,title_keyword,23.99,20.86,TMKB Technology Mechanical KeyBoard,keepa_search
B0CM6GP2QX,4,FR,"TMKB T61SE Clavier mécanique de jeu avec disposition QWERTZ allemande, interrupteur rouge, blanc",qwertz,azerty,True,high,title_keyword,23.99,20.86,TMKB Technology Mechanical KeyBoard,keepa_search
B0CM6GP2QX,8,IT,"TMKB T61SE Gaming Tastiera meccanica con layout tedesco QWERTZ, interruttore rosso, bianco",qwertz,qwerty_it,True,high,title_keyword,23.99,20.86,TMKB Technology Mechanical KeyBoard,keepa_search
B0CM6GP2QX,9,ES,"TMKB T61SE Teclado mecánico para juegos con disposición alemana QWERTZ, interruptor rojo, blanco",qwertz,qwerty_es,True,high,title_keyword,23.99,20.86,TMKB Technology Mechanical KeyBoard,keepa_search
B0FDFRW7W1,2,UK,"AULA F99 Wireless Gaming Keyboard Mechanical, QWERTZ DE Layout, BT5.0/2.4G/USB-C, Gasket Structure, Hot Swap, Software, RGB, PBT Keycaps, 8000 mAh, Creamy Sound, 95% Mechanical Keyboard (White Grey)",qwertz,qwerty_uk,True,high,title_keyword,87.99,,AULA,"keepa_search,static_pool"
B0FDFRW7W1,4,FR,"AULA F99 Clavier de jeu mécanique sans fil QWERTZ DE, BT5.0/2.4G/USB-C, structure Gasket, Hot Swap, logiciel, RVB, touches PBT, 8000 mAh, son Creamy, clavier mécanique 95 % (blanc gris)",qwertz,azerty,True,high,title_keyword,87.99,,AULA,"keepa_search,static_pool"
B0FDFRW7W1,8,IT,"AULA Tastiera meccanica F99, layout QWERTZ DE, BT5.0/2.4G/USB-C, struttura Gasket, hot swap, software, RGB,PBT, 8000 mAh, suono crema, 95% per cento tastiera meccanica (bianco grigio)",qwertz,qwerty_it,True,high,title_keyword,87.99,,AULA,"keepa_search,static_pool"
B0FDFRW7W1,9,ES,"AULA F99 - Teclado inalámbrico para juegos mecánico, diseño QWERTZ DE, BT5.0/2.4G/USB-C, estructura de gasket, intercambio en caliente, software, RGB, teclas PBT, 8000 mAh, sonido cremoso, teclado",qwertz,qwerty_es,True,high,title_keyword,87.99,,AULA,"keepa_search,static_pool"
B0F18F9MW1,2,UK,"Inateck Bluetooth Keyboard for 3 Multi-Device, UK Layout Compact Wireless Keyboard for iPad Pro/Air/Mini/Windows/Android/iOS/Tablet/PC, Ergonomic Design with Media HotKeys, Slim and Portable, KB01003",qwertz,qwerty_uk,True,high,title_keyword,14.99,11.24,Inateck,keepa_search
B0F18F9MW1,4,FR,"Inateck Clavier Bluetooth sans Fil Ultra-Mince pour iPad Pro/Air/10ᵉ Génération, Connexion 3 Appareils, Compatible avec Windows/iPad OS/Android/iOS, Autonomie de 18 Mois, Design Portable",qwertz,azerty,True,high,title_keyword,19.99,,Inateck,keepa_search
B0F18F9MW1,8,IT,"Inateck Tastiera Bluetooth Wireless Ultra-Sottile Connessione a 3 Dispositivi, Compatibile con iPad Pro/Air, PC, Windows, iPadOS, Android e iOS, Batteria da 18 Mesi, Design Portatile, Grigio",qwertz,qwerty_it,True,high,title_keyword,16.99,,Inateck,keepa_search
B0F18F9MW1,9,ES,"Inateck Teclado Bluetooth Inalámbrico Español, Conexión Triple (3 en 1). Compatible con iPad Pro/Air/Mini (10.9/10.2/9.7″), Windows, Android, iOS. Diseño Ergonómico Ultradelgado con Teclas Agrandadas.",qwertz,qwerty_es,True,high,title_keyword,15.99,,Inateck,keepa_search
B08VC68CP3,2,UK,"CHERRY KC 4500 ERGO, Ergonomic Keyboard, German Layout (QWERTZ), Wired, Padded Palm Rest with Memory Foam, Curved Keypad, Black",qwertz,qwerty_uk,True,high,title_keyword,55.99,33.02,CHERRY,keepa_search
B08VC68CP3,4,FR,"CHERRY KC 4500 ERGO, clavier ergonomique, Disposition allemande (QWERTZ), filaire, repose-poignet rembourré avec mousse à mémoire de forme, clavier incurvé, Noir",qwertz,azerty,True,high,title_keyword,56.08,33.02,CHERRY,keepa_search
B08VC68CP3,8,IT,"CHERRY KC 4500 ERGO, Tastiera Ergonomica, Layout per la Germania QWERTZ, Con Filo, Poggiapolsi Imbottito con Memory Foam, Tastierina Arcuata, Nero, 456 x 217 x 35 mm",qwertz,qwerty_it,True,high,title_keyword,48.58,33.02,CHERRY,keepa_search
B08VC68CP3,9,ES,"Cherry KC 4500 Ergo, Teclado Ergonómico, Distribución de Teclado Alemán (QWERTZ), con Cable, Reposamuñecas Acolchado con Espuma de Memoria, Teclado Curvo, Negro",qwertz,qwerty_es,True,high,title_keyword,57.23,33.02,CHERRY,keepa_search
B09DPRV9FW,2,UK,"CHERRY G80-3000N RGB TKL, Wired Gaming Keyboard without Numeric Keypad, German Layout (QWERTZ), RGB Lighting, Original MX SILENT RED Switches, Black",qwertz,qwerty_uk,True,high,title_keyword,90.07,60.92,CHERRY,"keepa_search,static_pool"
B09DPRV9FW,4,FR,"CHERRY G80-3000N RGB TKL, Clavier mécanique de Gaming Filaire sans pavé numérique, Disposition Allemande (QWERTZ), rétro-éclairage RGB, Commutateurs d’Origine MX MX Red, Noir",qwertz,azerty,True,high,title_keyword,110.0,60.92,CHERRY,"keepa_search,static_pool"
B09DPRV9FW,8,IT,"CHERRY G80-3000N RGB TKL, Tastiera gaming meccanica con filo senza tastierino numerico, Layout per la Germania (QWERTZ), Illuminazione RGB, Interruttori originali MX SILENT RED, Colore nero",qwertz,qwerty_it,True,high,title_keyword,105.0,60.92,CHERRY,"keepa_search,static_pool"
B09DPRV9FW,9,ES,"Cherry G80-3000N RGB TKL, Teclado Gaming con Cable y sin Teclado numérico, distribución de Teclado alemán (QWERTZ), iluminación RGB, switches MX Silent Red Originales, Negro",qwertz,qwerty_es,True,high,title_keyword,105.0,60.92,CHERRY,"keepa_search,static_pool"
B0BCR29GFW,2,UK,"Corsair K60 PRO TKL RGB Optical Mechanical Tenkeyless Gaming Keyboard - OPX Switch, Brushed Aluminium Case, Detachable USB Type-C Cable, DE Layout, QWERTZ - Black",qwertz,qwerty_uk,True,high,title_keyword,65.14,63.19,Corsair,keepa_search
B08Y5SX695,2,UK,"Rii Tastatur Maus Set Kabellos, 2.4G Kabellose Kompakte Tastatur mit Funkmaus für Laptop, PC und Smart TV, Deutsches QWERTZ Layout, Schwarz",qwertz,qwerty_uk,True,high,title_keyword,23.99,,Rii,keepa_search
B08Y5SX695,4,FR,"Rii Ensemble clavier et souris sans fil 2,4 G, clavier compact avec souris sans fil pour ordinateur portable, PC et Smart TV, disposition allemande QWERTZ, noir",qwertz,azerty,True,high,title_keyword,23.99,,Rii,keepa_search
B08Y5SX695,8,IT,"Rii Set tastiera e mouse wireless 2.4G Tastiera compatta con mouse wireless per laptop, PC e Smart TV, layout tedesco QWERTZ, nero",qwertz,qwerty_it,True,high,title_keyword,23.99,,Rii,keepa_search
B08Y5SX695,9,ES,"Rii Tastatur Maus Set Kabellos, 2.4G Kabellose Kompakte Tastatur mit Funkmaus für Laptop, PC und Smart TV, Deutsches QWERTZ Layout, Schwarz",qwertz,qwerty_es,True,high,title_keyword,23.99,,Rii,keepa_search
B0DM6M45YK,2,UK,"Hama CK-200 Wired Keyboard (USB Keyboard, Ergonomic Typing Feel, Quiet Keys, Removable Cable, German QWERTZ Layout, Multimedia Keys, Assist Key for AI Assistants) Black",qwertz,qwerty_uk,True,high,title_keyword,28.51,6.5,Hama,keepa_search
B0DM6M45YK,4,FR,"Hama Clavier filaire CK-200 (clavier USB, sensation de frappe ergonomique, touches silencieuses, câble amovible, disposition QWERTZ allemande, touches multimédia, touche d'assistance pour assistant",qwertz,azerty,True,high,title_keyword,16.99,6.5,Hama,keepa_search
B0DM6M45YK,8,IT,"Hama Tastiera cablata CK-200 (tastiera USB, sensazione di digitazione ergonomica, tasti silenziosi, cavo rimovibile, layout tedesco QWERTZ, tasti multimediali, tasto Assist per assistenti AI), nero",qwertz,qwerty_it,True,high,title_keyword,17.99,7.79,Hama,keepa_search
B0DM6M45YK,9,ES,"Hama Teclado con Cable CK-200 (Teclado USB, sensación ergonómica, Teclas silenciosas, Cable extraíble, disposición Alemana QWERTZ, Teclas Multimedia, botón Asistente para asistentes de IA), Color",qwertz,qwerty_es,True,high,title_keyword,34.33,7.79,Hama,keepa_search
B076HW1HTS,2,UK,"CHERRY DW 5100, Wireless Desktop Set, EU Layout (QWERTY), 2.4 GHz RF, Plug & Play, Ergonomic Right-Handed Mouse, Battery-Operated Black",qwertz,qwerty_uk,True,high,brand_model_db,49.99,15.76,CHERRY,keepa_search
B076HW1HTS,4,FR,"CHERRY DW 5100, Ensemble Clavier et Souris sans Fil, Disposition EU (QWERTY), Radio 2,4 GHz, Plug & Play, Souris Ergonomique pour Droitiers, Piles, Noir",qwertz,azerty,True,high,brand_model_db,36.05,15.76,CHERRY,keepa_search
B076HW1HTS,8,IT,"CHERRY DW 5100, Set di Tastiera e Mouse Senza Fili, Layout per l'Unione Europea, QWERTY, 2,4 GHz, Plug & Play, Mouse per Destrimani, Batterie, Nero",qwertz,qwerty_it,True,high,brand_model_db,16.33,13.23,CHERRY,keepa_search
B076HW1HTS,9,ES,"CHERRY DW 5100, Set Inalámbrico de Escritorio, Distribución de Teclado Europeo QWERTY, 2.4 GHz RF, Plug & Play, Ratón Ergonómico para Diestro, Funciona con Batería, Negro",qwertz,qwerty_es,True,high,brand_model_db,43.32,15.76,CHERRY,keepa_search
B0FCM5C55J,2,UK,"UGREEN Bluetooth Wireless Keyboard (BT5.4+2.4G), Ultra Slim Scissor Keyboard, Rechargeable Keyboard with 3 Channels, Compatible with Windows/macOS/Android QWERTZ Layout",qwertz,qwerty_uk,True,high,title_keyword,31.99,28.79,UGREEN,keepa_search
B0FCM5C55J,4,FR,"UGREEN Clavier Bluetooth sans fil (BT5.4+2.4G), clavier à ciseaux ultra fin, clavier rechargeable avec 3 canaux, compatible avec Windows/macOS/Android QWERTZ",qwertz,azerty,True,high,title_keyword,31.99,28.79,UGREEN,keepa_search
B0FCM5C55J,8,IT,"UGREEN Tastiera Bluetooth senza fili (BT5.4+2.4G), tastiera a forbice ultra sottile, tastiera ricaricabile a 3 canali, compatibile con Windows/MacOS/Android QWERTZ Layout",qwertz,qwerty_it,True,high,title_keyword,31.99,28.79,UGREEN,keepa_search
B0FCM5C55J,9,ES,"UGREEN Teclado Bluetooth inalámbrico (BT5.4 + 2.4G), teclado ultrafino, teclado recargable con 3 canales, compatible con Windows/macOS/Android QWERTZ Layout",qwertz,qwerty_es,True,high,title_keyword,31.99,28.79,UGREEN,keepa_search
B07W5JK221,2,UK,"Logitech G PRO keyboard USB QWERTZ German Black G PRO, Standard, USB, Mechanical, QWERTZ, RGB LED, Black",qwertz,qwerty_uk,True,high,title_keyword,119.99,48.85,Logitech G,keepa_search
B07W5JK221,4,FR,Logitech g Pro Câblé Mechanical Gaming keyb Black - deu - Central GR Noir,qwertz,azerty,True,high,title_keyword,95.2,48.85,Logitech G,keepa_search
B07W5JK221,8,IT,"Logitech G PRO tastiera USB QWERTZ Tedesco Nero G PRO, Standard, USB, Meccanico, QWERTZ, RGB LED, Nero",qwertz,qwerty_it,True,high,title_keyword,79.99,48.85,Logitech G,keepa_search
B07W5JK221,9,ES,Logitech g Pro - Cableado mecánico Gaming keyb Negro - deu - Central GR Negro,qwertz,qwerty_es,True,high,title_keyword,105.98,48.85,Logitech G,keepa_search
B0D87CJ8HM,2,UK,"CHERRY MX 2.0S, Mechanical Gaming Keyboard with RGB Lighting, German Layout (QWERTZ), Wired, Designed in Germany, MX2A RED Switches, Black",qwertz,qwerty_uk,True,high,title_keyword,94.23,,CHERRY,keepa_search
B0D87CJ8HM,4,FR,"CHERRY MX 2.0S, Clavier de Jeu Mécanique avec Éclairage RGB, Disposition Allemande (QWERTZ), Filaire, Conçu en Allemagne, Commutateurs MX2A Red, Noir",qwertz,azerty,True,high,title_keyword,61.06,,CHERRY,keepa_search
B0D87CJ8HM,8,IT,"CHERRY MX 2.0S, Tastiera Meccanica da Gioco con Illuminazione RGB, Tedesco QWERTZ, Cablata, Progettata in Germania, Interruttori MX2A RED, Nero, Tedesco - QWERTZ",qwertz,qwerty_it,True,high,title_keyword,62.64,,CHERRY,keepa_search
B0D87CJ8HM,9,ES,"Cherry MX 2.0S, Teclado Mecánico para Juegos con Iluminación RGB, Disposición Alemana (QWERTZ), con Cable, Diseñado en Alemania, Interruptores MX2A Red, Negro",qwertz,qwerty_es,True,high,title_keyword,70.58,,CHERRY,keepa_search
B08KR9XCPG,2,UK,"CHERRY GENTIX DESKTOP, Wireless Keyboard & Mouse Set, German Layout (QWERTZ), 2.4 GHz Wireless, Integrated Palm Rest, Symmetrical Design, Black",qwertz,qwerty_uk,True,high,title_keyword,49.99,29.29,CHERRY,keepa_search
B08KR9XCPG,4,FR,"CHERRY GENTIX Desktop, Ensemble Clavier et Souris sans Fil, Disposition Allemande (QWERTZ), Radio 2,4 GHz, Repose-Poignets Intégré, Souris Symétrique, Noir",qwertz,azerty,True,high,title_keyword,39.99,32.39,CHERRY,keepa_search
B08KR9XCPG,8,IT,"CHERRY GENTIX DESKTOP, Set di Tastiera e Mouse Senza Fili, Layout per la Germania QWERTZ, Radio a 2,4 GHz, Palm Rest Integrato, Mouse Simmetrico, Nero",qwertz,qwerty_it,True,high,title_keyword,39.99,32.39,CHERRY,keepa_search
B08KR9XCPG,9,ES,"Cherry GENTIX Desktop, Set de Teclado y Ratón Inalámbrico, Distribución de Teclado Alemán (QWERTZ), Inalámbrico 2.4 GHz, Reposamuñecas Integrado, Diseño Simétrico, Negro",qwertz,qwerty_es,True,high,title_keyword,49.99,38.11,CHERRY,keepa_search
B0B9RV1525,2,UK,"Rii Bluetooth Tastatur mit touchpad(Bluetooth 5.0 + 2.4G Wireless), Mini Tastatur Beleuchtet mit 2 LED Hinterleuchtet（Deutsches Layout, schwarz）",qwertz,qwerty_uk,True,high,title_keyword,29.99,,Rii,keepa_search
B0B9RV1525,4,FR,"Rii Clavier Bluetooth avec pavé tactile (Bluetooth 5.0 + 2,4 G sans fil), mini clavier éclairé avec 2 LED rétroéclairées (disposition allemande, noir)",qwertz,azerty,True,high,title_keyword,29.99,,Rii,keepa_search
B0B9RV1525,8,IT,"Rii Tastiera Bluetooth con touchpad (Bluetooth 5.0 + 2.4G Wireless), mini tastiera retroilluminata con 2 luci LED posteriori (layout tedesco, nero)",qwertz,qwerty_it,True,high,title_keyword,29.99,,Rii,keepa_search
B0B9RV1525,9,ES,"Rii Bluetooth Tastatur mit touchpad(Bluetooth 5.0 + 2.4G Wireless), Mini Tastatur Beleuchtet mit 2 LED Hinterleuchtet（Deutsches Layout, schwarz）",qwertz,qwerty_es,True,high,title_keyword,29.99,,Rii,keepa_search
B09WDJNBT1,2,UK,"Arteck 2.4G Wireless Keyboard Ultra Slim and Compact Keyboard with Media Hotkeys for Computer Desktop PC Laptop Surface Smart TV and Windows 11/10/8/7, Black",qwertz,qwerty_uk,True,high,title_keyword,17.99,7.99,Arteck,keepa_search
B09WDJNBT1,4,FR,"Arteck Clavier sans fil 2,4 G ultra fin et compact avec raccourcis multimédia pour ordinateur de bureau, PC, ordinateur portable, Surface Smart TV et Windows 11/10/8/7, noir",qwertz,azerty,True,high,title_keyword,18.69,17.99,Arteck,keepa_search
B09WDJNBT1,8,IT,"Arteck Tastiera wireless 2.4G ultra sottile e compatta con tasti di scelta rapida per computer, PC, laptop, superficie Smart TV e Windows 11/10/8/7, nero",qwertz,qwerty_it,True,high,title_keyword,18.69,17.99,Arteck,keepa_search
B09WDJNBT1,9,ES,"Arteck Teclado inalámbrico 2.4G ultra delgado y compacto teclado con teclas de acceso rápido para computadora, computadora de escritorio, computadora portátil, superficie Smart TV y Windows 11/10/8/7,",qwertz,qwerty_es,True,high,title_keyword,18.69,17.99,Arteck,keepa_search
B09WCZJ5NB,2,UK,"cimetech Wireless Keyboard Mouse Set, 2.4G Ultraslim Full Size Wireless Keyboard with Wireless Mouse, QWERTZ German Layout, 10 m Range, for PC, Desktop, Notebook, Laptop, Windows, (Silver)",qwertz,qwerty_uk,True,high,title_keyword,32.99,22.99,cimetech,keepa_search
B09WCZJ5NB,4,FR,"cimetech Clavier souris sans fil 2,4 G ultra fin Full Size avec souris sans fil, QWERTZ, portée de 10 m, pour PC, ordinateur portable, ordinateur portable, Windows, argenté",qwertz,azerty,True,high,title_keyword,32.99,22.99,cimetech,keepa_search
B09WCZJ5NB,8,IT,"cimetech Set tastiera mouse senza fili, 2,4 G, ultra sottile, full size senza fili, con mouse wireless, layout tedesco, portata 10 m, per PC, desktop, notebook, laptop, Windows, (argento)",qwertz,qwerty_it,True,high,title_keyword,32.99,22.99,cimetech,keepa_search
B09WCZJ5NB,9,ES,"cimetech Juego de ratón inalámbrico 2.4G Ultraslim Full Size Teclado Inalámbrico con Ratón Inalámbrico QWERTZ Diseño Alemán, 10 m de alcance, para PC, escritorio, portátil, Windows (Plata)",qwertz,qwerty_es,True,high,title_keyword,32.99,22.99,cimetech,keepa_search
B0CDXC2SVM,2,UK,"Sharkoon Skiller SGK20 (Black, DE-Layout, Huano Brown, 20 Keys, RGB, USB)",qwertz,qwerty_uk,True,medium,ean_prefix,58.73,,Sharkoon,keepa_search
B0CDXC2SVM,4,FR,Sharkoon Skiller SGK20 Interrupteur mécanique Huano Brown RVB,qwertz,azerty,True,medium,ean_prefix,51.47,,Sharkoon,keepa_search
B0CDXC2SVM,8,IT,"Sharkoon Skiller SGK20, interruttore meccanico, Huano Brown, RGB",qwertz,qwerty_it,True,medium,ean_prefix,66.26,,Sharkoon,keepa_search
B0CDXC2SVM,9,ES,Sharkoon Skiller SGK20 - Interruptor mecánico Huano Brown RGB,qwertz,qwerty_es,True,medium,ean_prefix,51.38,,Sharkoon,keepa_search
B0FG8D6NYP,2,UK,"VidaTeco Wireless Mechanical Gaming Keyboard, 60% Percent Keyboard Compact US Layout, Portable Full Keys Anti-ghosting Gaming Keyboard Power Saving,Red Switch,for PC,Mac",qwertz,qwerty_uk,True,low,cross_market,19.99,,VidaTeco,keepa_search
